keys,it,en,fr,es
ABILITY_CHOICE_BAG_TITLE,%s (già al massimo),%s (already maxed),%s (déjà au maximum),%s (ya al máximo)
ABILITY_CHOICE_BAG_DESC,Bag of Resources: dà materiali invece di un livello.,Bag of Resources: gives materials instead of a level.,Sac de ressources : donne des matériaux au lieu d'un niveau.,Bolsa de recursos: da materiales en vez de un nivel.
BOSS_NECROMANCER,Negromante,Necromancer,Nécromancien,Nigromante
BOSS_BONE_COLOSSUS,Colosso d'ossa,Bone Colossus,Colosse d'os,Coloso de huesos
BOSS_GHOUL_QUEEN,Regina dei Ghoul,Ghoul Queen,Reine des goules,Reina de los necrófagos
FILTER_LABEL,Mostra:,Show:,Afficher :,Mostrar:
FILTER_ALL,Tutti,All,Tous,Todos
FILTER_NEW,Nuovi (N),New (N),Nouveaux (N),Nuevos (N)
TUTORIAL_NEXT,Avanti,Next,Suivant,Siguiente
TUTORIAL_GOT_IT,Ho capito,Got it,Compris,Entendido
TUTORIAL_SKIP,Salta tutorial,Skip tutorial,Passer le tutoriel,Saltar tutorial
TUTORIAL_HUB_TITLE,Benvenuto nella piazza,Welcome to the plaza,Bienvenue sur la place,Bienvenido a la plaza
TUTORIAL_HUB_INTRO_BODY,"Qui prepari la prossima run: equipaggia i tuoi oggetti, craftali dal fabbro e scegli l'arena dal portale. Diamo un giro veloce.","This is where you get ready for your next run: equip your gear, craft it at the forge and pick an arena at the portal. Let's take a quick look around.","C'est ici que vous préparez votre prochaine run : équipez votre matériel, forgez-le et choisissez une arène au portail. Faisons un petit tour.","Aquí te preparas para tu próxima expedición: equipa tu equipo, fabrícalo en la forja y elige una arena en el portal. Démosle un vistazo rápido."
TUTORIAL_FORGE_TITLE,Il fabbro,The forge,La forge,La forja
TUTORIAL_FORGE_DESC,"Craft nuovo equipaggiamento con i materiali raccolti in run, fondi sei pezzi identici in uno migliore o alza il cap di un'abilita' con l'Ascensione.","Craft new gear with the materials you collect in a run, fuse six identical pieces into a better one, or raise an ability's cap with Ascension.","Fabriquez du nouvel équipement avec les matériaux récoltés en run, fusionnez six pièces identiques en une meilleure, ou augmentez le plafond d'une capacité avec l'Ascension.","Fabrica nuevo equipo con los materiales recogidos en la expedición, fusiona seis piezas idénticas en una mejor o sube el tope de una habilidad con la Ascensión."
TUTORIAL_CHEST_TITLE,Il baule,The chest,Le coffre,El baúl
TUTORIAL_CHEST_DESC,Tutto l'equipaggiamento che possiedi: da qui lo equipaggi sul manichino e consulti le tue statistiche.,All the gear you own: equip it on the mannequin from here and check your stats.,Tout l'équipement que vous possédez : équipez-le sur le mannequin depuis ici et consultez vos statistiques.,Todo el equipo que posees: equípalo en el maniquí desde aquí y consulta tus estadísticas.
TUTORIAL_PORTAL_TITLE,Il portale,The portal,Le portail,El portal
TUTORIAL_PORTAL_DESC,Scegli l'arena e attraversa il portale per iniziare una run. Il loot che trovi in run resta a rischio finche' non estrai o torni qui vivo.,Pick an arena and step through the portal to start a run. Loot you find in a run stays at risk until you extract or make it back here alive.,Choisissez une arène et franchissez le portail pour commencer une run. Le butin trouvé en run reste à risque tant que vous n'extrayez pas ou ne revenez pas ici vivant.,Elige una arena y cruza el portal para empezar una expedición. El botín que encuentres en la expedición sigue en riesgo hasta que extraigas o vuelvas aquí con vida.
TUTORIAL_HUB_END_TITLE,Pronto,Ready,Prêt,Listo
TUTORIAL_HUB_END_BODY,Tutto qui. Quando vuoi puoi rivedere queste informazioni da solo: buona run.,That's it. You can always explore these spots again on your own: good luck out there.,C'est tout. Vous pouvez toujours revisiter ces endroits par vous-même : bonne run.,Eso es todo. Siempre puedes volver a explorar estos lugares por tu cuenta: buena suerte.
TUTORIAL_RUN_TITLE,Obiettivo della run,Run objective,Objectif de la run,Objetivo de la expedición
TUTORIAL_RUN_BODY,"Combatti, raccogli loot e supera gli eventi casuali per un premio. Dopo un po' si apre un punto di estrazione: resta dentro per qualche secondo per portare a casa il loot. Se muori prima di estrarre, lo perdi tutto. Premi M per aprire la mappa dell'arena.","Fight, collect loot and beat the random events for a reward. After a while an extraction point opens: stay inside it for a few seconds to bring your loot home. Die before extracting and you lose it all. Press M to open the arena map.","Combattez, récoltez du butin et surmontez les événements aléatoires pour une récompense. Après un moment, un point d'extraction s'ouvre : restez-y quelques secondes pour ramener votre butin. Mourir avant d'extraire vous le fait tout perdre. Appuyez sur M pour ouvrir la carte de l'arène.","Lucha, recoge botín y supera los eventos aleatorios para conseguir una recompensa. Al cabo de un rato se abre un punto de extracción: quédate dentro unos segundos para llevarte el botín a casa. Si mueres antes de extraer, lo pierdes todo. Pulsa M para abrir el mapa de la arena."
TUTORIAL_EVENT_TITLE,Evento,Event,Événement,Evento
TUTORIAL_EVENT_BODY,"Un evento casuale e' iniziato: leggi il sottotitolo per sapere cosa fare, guarda la barra del tempo e superalo per una ricompensa.","A random event just started: read the subtitle to see what to do, watch the timer and beat it for a reward.","Un événement aléatoire vient de commencer : lisez le sous-titre pour savoir quoi faire, surveillez le temps et réussissez-le pour une récompense.","Ha empezado un evento aleatorio: lee el subtítulo para saber qué hacer, vigila el tiempo y supéralo para conseguir una recompensa."
TUTORIAL_OVERTIME_TITLE,Overtime,Overtime,Overtime,Overtime
TUTORIAL_OVERTIME_BODY,"Sei rimasto troppo a lungo dopo l'apertura dell'estrazione: l'arena diventa via via piu' dura (nemici piu' veloci, piu' forti e ondate di boss sempre piu' frequenti). Ogni tanto sale ancora di livello: prima estrai, meglio e'.","You've stayed too long after extraction opened: the arena keeps getting harder (faster, tougher enemies and more frequent boss waves). It escalates again every so often: the sooner you extract, the better.","Vous êtes resté trop longtemps après l'ouverture de l'extraction : l'arène devient de plus en plus dure (ennemis plus rapides, plus forts, vagues de boss plus fréquentes). Elle monte encore de niveau de temps en temps : plus tôt vous extrayez, mieux c'est.","Te has quedado demasiado tiempo después de que se abriera la extracción: la arena se vuelve cada vez más dura (enemigos más rápidos, más fuertes y oleadas de jefes más frecuentes). Sube de nivel de vez en cuando: cuanto antes extraigas, mejor."
UI_TOOLTIP_CODEX,Codex (guida),Codex (guide),Codex (guide),Codex (guía)
CODEX_TITLE,Codex,Codex,Codex,Codex
CODEX_SECTION_STRUCTURES,Strutture della piazza,Plaza structures,Structures de la place,Estructuras de la plaza
CODEX_SECTION_EVENTS,Eventi di run,Run events,Événements de run,Eventos de partida
CODEX_SECTION_EQUIPMENT,Equipaggiamento e potenza,Equipment and power,Équipement et puissance,Equipo y poder
CODEX_SECTION_EXTRACTION,Estrazione e overtime,Extraction and overtime,Extraction et prolongation,Extracción y tiempo extra
CODEX_FORGE_TITLE,Fabbro,Blacksmith,Forgeron,Herrero
CODEX_FORGE_BODY,"Forgia nuovo equipaggiamento dai materiali nel baule, fonde sei pezzi identici della stessa rarità in uno della rarità successiva (bonus ritirati, fino a Leggendario), smonta pezzi in materiali e ascende un pezzo al livello successivo. Tutto richiede materiali dal baule.","Forges new equipment from the materials in the stash, fuses six identical items of the same rarity into one of the next rarity (bonuses re-rolled, up to Legendary), salvages items into materials, and ascends an item to the next level. Everything costs materials from the stash.","Forge du nouvel équipement à partir des matériaux du coffre, fusionne six objets identiques de même rareté en un objet de la rareté suivante (bonus retirés, jusqu'à Légendaire), démonte des objets en matériaux et fait monter un objet au niveau suivant. Tout coûte des matériaux du coffre.","Forja equipo nuevo con los materiales del cofre, fusiona seis objetos idénticos de la misma rareza en uno de la rareza siguiente (bonificaciones nuevas, hasta Legendario), desmonta objetos en materiales y asciende un objeto al siguiente nivel. Todo cuesta materiales del cofre."
CODEX_CHEST_TITLE,Baule,Chest,Coffre,Cofre
CODEX_CHEST_BODY,"Inventario e manichino della piazza: equipaggia o disequipaggia i pezzi trovati in run, controlla le statistiche totali (scheda Statistiche) e i materiali accumulati.","The plaza's inventory and mannequin: equip or unequip items found during runs, check total stats (Stats tab) and accumulated materials.","Inventaire et mannequin de la place : équipez ou déséquipez les objets trouvés en run, consultez les statistiques totales (onglet Statistiques) et les matériaux accumulés.","Inventario y maniquí de la plaza: equipa o desequipa los objetos hallados en las partidas, consulta las estadísticas totales (pestaña Estadísticas) y los materiales acumulados."
CODEX_PORTAL_TITLE,Portale,Portal,Portail,Portal
CODEX_PORTAL_BODY,"Sceglie l'arena (Cripta o Ossario) e avvia una run. Ogni arena ha i propri eventi, nemici e loot.","Chooses the arena (Crypt or Ossuary) and starts a run. Each arena has its own events, enemies and loot.","Choisit l'arène (Crypte ou Ossuaire) et lance une run. Chaque arène a ses propres événements, ennemis et butin.","Elige la arena (Cripta u Osario) e inicia una partida. Cada arena tiene sus propios eventos, enemigos y botín."
CODEX_EVENT_LIGHTNING_TITLE,Tempesta di fulmini,Lightning storm,Tempête de foudre,Tormenta de rayos
CODEX_EVENT_LIGHTNING_BODY,"Fulmini casuali colpiscono l'arena per tutta la durata dell'evento, con un cerchio di preavviso prima del colpo; alcuni mirano dritti al player. Sopravvivi fino alla fine per le ricompense (scelta di potenziamento nella run).","Random lightning strikes hit the arena for the whole event, each with a telegraph circle before it lands; some aim straight at the player. Survive to the end for the rewards (an upgrade choice for the run).","Des éclairs aléatoires frappent l'arène pendant toute la durée de l'événement, chacun précédé d'un cercle d'avertissement ; certains visent directement le joueur. Survivez jusqu'à la fin pour les récompenses (un choix d'amélioration pour la run).","Rayos aleatorios golpean la arena durante todo el evento, cada uno con un círculo de aviso antes de caer; algunos apuntan directo al jugador. Sobrevive hasta el final para obtener las recompensas (una elección de mejora en la partida)."
CODEX_EVENT_PENTAGRAM_TITLE,Pentagramma di sangue,Blood pentagram,Pentagramme de sang,Pentagrama de sangre
CODEX_EVENT_PENTAGRAM_BODY,"In mappa trovi un pentagramma con le candele spente e una statua di demone al centro: avvicinati e interagisci per attivarlo, la statua sparisce. Le candele restano accese per un po' poi iniziano a spegnersi una al secondo, e nel frattempo i mostri sono più numerosi e già in rage: resta nel cerchio finché non si spegne l'ultima candela, uscire fa fallire l'evento. Superato, aggiunge un boss in più alla run (nessuna scelta di potenziamento).","Somewhere on the map stands a pentagram with unlit candles and a demon statue at its center: get close and interact to activate it, and the statue disappears. The candles stay lit for a while, then start going out one per second, while monsters grow more numerous and are already enraged: stay in the circle until the last candle goes out, leaving fails the event. Clearing it adds an extra boss to the run (no upgrade choice).","Quelque part sur la carte se trouve un pentagramme avec des bougies éteintes et une statue de démon en son centre : approchez-vous et interagissez pour l'activer, la statue disparaît. Les bougies restent allumées un moment puis commencent à s'éteindre une par seconde, pendant que les monstres deviennent plus nombreux et déjà enragés : restez dans le cercle jusqu'à ce que la dernière bougie s'éteigne, en sortir fait échouer l'événement. Une fois réussi, un boss supplémentaire s'ajoute à la run (aucun choix d'amélioration).","En algún lugar del mapa hay un pentagrama con velas apagadas y una estatua de demonio en el centro: acércate e interactúa para activarlo, la estatua desaparece. Las velas permanecen encendidas un rato y luego empiezan a apagarse una por segundo, mientras los monstruos se vuelven más numerosos y ya están enfurecidos: quédate en el círculo hasta que se apague la última vela, salir hace fallar el evento. Al superarlo se añade un jefe extra a la partida (sin elección de mejora)."
CODEX_EVENT_SHADOWSTEP_TITLE,Passo d'ombra,Shadow step,Pas de l'ombre,Paso de sombra
CODEX_EVENT_SHADOWSTEP_BODY,"Per la durata dell'evento lo sparo è disattivato: il tasto sparo (o Spazio/tasto destro) fa scattare in avanti, invulnerabile per tutta la durata dello scatto — sei in i-frame e puoi attraversare i nemici senza subire danno. Cariche limitate che si ricaricano nel tempo.","For the duration of the event, firing is disabled: the fire button (or Space/right click) triggers a forward dash, invulnerable for the whole dash — you are in i-frames and can pass straight through enemies without taking damage. Limited charges that recharge over time.","Pendant toute la durée de l'événement, le tir est désactivé : le bouton de tir (ou Espace/clic droit) déclenche une ruée vers l'avant, invulnérable pendant toute sa durée — vous êtes en i-frames et pouvez traverser les ennemis sans subir de dégâts. Charges limitées qui se rechargent avec le temps.","Durante todo el evento el disparo está desactivado: el botón de disparo (o Espacio/clic derecho) activa un dash hacia delante, invulnerable durante toda su duración — estás en i-frames y puedes atravesar a los enemigos sin recibir daño. Cargas limitadas que se recargan con el tiempo."
CODEX_EVENT_CLOSET_TITLE,Scheletri nell'armadio,Skeletons in the closet,Squelettes dans le placard,Esqueletos en el armario
CODEX_EVENT_CLOSET_BODY,"Scheletri compaiono su un ampio cerchio attorno al player e camminano verso il centro senza inseguirti: basta un colpo subito per fallire l'evento. Superato, si apre un armadio con fino a 3 pezzi mai estratti prima in questa partita; il pezzo scelto si equipaggia subito e segue le normali regole di rischio/estrazione.",Skeletons appear on a wide circle around the player and walk toward the center without chasing you: taking a single hit fails the event. Clearing it opens a closet with up to 3 items never extracted before in this save; the chosen item is equipped right away and follows the normal risk/extraction rules.,"Des squelettes apparaissent sur un large cercle autour du joueur et marchent vers le centre sans vous poursuivre : subir un seul coup fait échouer l'événement. Une fois réussi, une armoire s'ouvre avec jusqu'à 3 objets jamais extraits dans cette partie ; l'objet choisi est équipé immédiatement et suit les règles normales de risque/extraction.",Aparecen esqueletos en un amplio círculo alrededor del jugador y caminan hacia el centro sin perseguirte: recibir un solo golpe hace fallar el evento. Al superarlo se abre un armario con hasta 3 objetos nunca extraídos en esta partida; el objeto elegido se equipa de inmediato y sigue las reglas normales de riesgo/extracción.
CODEX_RARITY_TITLE,Rarità dell'equipaggiamento,Equipment rarity,Rareté de l'équipement,Rareza del equipo
CODEX_RARITY_BODY,"Sei livelli, dal più comune al più raro: Comune, Non comune, Raro, Super raro, Leggendario, Mitico. Rarità più alta = più bonus e bonus più forti, e da Super raro in su anche un'abilità attiva in run (di livello più alto a partire da Leggendario). Il Mitico non si trova mai in run: si ottiene solo fondendo due Leggendari identici dal fabbro.","Six tiers, from most common to rarest: Common, Uncommon, Rare, Super rare, Legendary, Mythic. Higher rarity means more bonuses and stronger bonuses, and from Super rare up also an active ability in the run (higher level from Legendary on). Mythic never drops in a run: it's only obtained by fusing two identical Legendaries at the blacksmith.","Six paliers, du plus commun au plus rare : Commun, Peu commun, Rare, Super rare, Légendaire, Mythique. Une rareté plus élevée donne plus de bonus et des bonus plus forts, et à partir de Super rare une compétence active en run également (niveau plus élevé à partir de Légendaire). Le Mythique n'apparaît jamais en run : il ne s'obtient qu'en fusionnant deux Légendaires identiques chez le forgeron.","Seis niveles, del más común al más raro: Común, Poco común, Raro, Súper raro, Legendario, Mítico. Mayor rareza significa más bonificaciones y más fuertes, y desde Súper raro en adelante también una habilidad activa en la partida (de nivel más alto a partir de Legendario). El Mítico nunca cae en una partida: solo se obtiene fusionando dos Legendarios idénticos con el herrero."
CODEX_ARENA_LEVEL_TITLE,Livello dell'arena,Arena level,Niveau de l'arène,Nivel de la arena
CODEX_ARENA_LEVEL_BODY,"Da 1 a 5, dipende dalla potenza dell'equipaggiamento indossato: sale quando hai almeno 4 pezzi di una certa rarità o superiore. Livelli più alti aumentano vita e ritmo di spawn dei nemici e i boss, ma alzano anche la rarità massima ottenibile dai drop. Si somma con overtime e Pentagramma di sangue, nessuno dei due lo sostituisce.","From 1 to 5, based on the power of the equipped items: it rises once you have at least 4 items of a given rarity or higher. Higher levels increase enemy health and spawn pace and bosses, but also raise the maximum drop rarity. It stacks with overtime and the Blood pentagram, neither replaces the other.","De 1 à 5, selon la puissance de l'équipement porté : il augmente dès que vous avez au moins 4 objets d'une rareté donnée ou supérieure. Des niveaux plus élevés augmentent la vie et le rythme d'apparition des ennemis ainsi que les boss, mais augmentent aussi la rareté maximale des butins. Il se cumule avec la prolongation et le Pentagramme de sang, sans que l'un ne remplace l'autre.","De 1 a 5, según el poder del equipo puesto: sube al tener al menos 4 objetos de una rareza dada o superior. Niveles más altos aumentan la vida y el ritmo de aparición de enemigos y los jefes, pero también elevan la rareza máxima del botín. Se suma con el tiempo extra y el Pentagrama de sangre, ninguno sustituye al otro."
CODEX_EXTRACTION_TITLE,Estrazione,Extraction,Extraction,Extracción
CODEX_EXTRACTION_BODY,Il punto di estrazione appare dopo un po' di tempo in run. Resta al suo interno per completare il canale ed estrarre con tutto il loot raccolto; uscendo dalla zona il progresso cala nel tempo invece di azzerarsi di colpo. Se muori prima di estrarre perdi il loot di quella run.,The extraction point appears after a while into the run. Stay inside it to complete the channel and extract with all the loot collected; leaving the zone makes progress decay over time instead of resetting instantly. Dying before extracting loses that run's loot.,Le point d'extraction apparaît après un moment de run. Restez à l'intérieur pour terminer le canal et extraire avec tout le butin récolté ; sortir de la zone fait décliner la progression dans le temps au lieu de la remettre à zéro instantanément. Mourir avant d'extraire fait perdre le butin de cette run.,El punto de extracción aparece tras un rato de partida. Quédate dentro para completar el canal y extraer con todo el botín recogido; salir de la zona hace que el progreso decaiga con el tiempo en vez de reiniciarse de golpe. Morir antes de extraer hace perder el botín de esa partida.
CODEX_OVERTIME_TITLE,Overtime,Overtime,Prolongation,Tiempo extra
CODEX_OVERTIME_BODY,"Restare in arena dopo l'apertura dell'estrazione rende la run sempre più dura: a intervalli regolari sale di livello (con avviso prima di ogni salto), aumentando vita e velocità dei nemici, frequenza dei boss e ondate di spawn. Ogni livello moltiplica gli effetti del livello 1.","Staying in the arena after extraction opens makes the run progressively harder: it levels up at regular intervals (with a warning before each jump), increasing enemy health and speed, boss frequency and spawn waves. Each level multiplies level 1's effects.","Rester dans l'arène après l'ouverture de l'extraction rend la run de plus en plus difficile : elle monte de niveau à intervalles réguliers (avec un avertissement avant chaque saut), augmentant la vie et la vitesse des ennemis, la fréquence des boss et les vagues d'apparition. Chaque niveau multiplie les effets du niveau 1.","Quedarse en la arena tras abrirse la extracción hace la partida cada vez más dura: sube de nivel a intervalos regulares (con aviso antes de cada salto), aumentando la vida y velocidad de los enemigos, la frecuencia de jefes y las oleadas de aparición. Cada nivel multiplica los efectos del nivel 1."
TUTORIAL_OVERTIME_WARNING_TITLE,Overtime in arrivo,Overtime incoming,Prolongation à venir,Prórroga en camino
TUTORIAL_OVERTIME_WARNING_BODY,"Tra poco l'arena entra in overtime: da quel momento diventa via via piu' dura (nemici piu' veloci e forti, boss piu' frequenti). Se il punto di estrazione e' gia' aperto, questo e' un buon momento per andarci.","Overtime is about to start: from then on the arena keeps getting harder (faster, tougher enemies, more frequent bosses). If the extraction point is already open, this is a good time to head there.","La prolongation va bientôt commencer : à partir de là, l'arène devient de plus en plus dure (ennemis plus rapides et plus forts, boss plus fréquents). Si le point d'extraction est déjà ouvert, c'est un bon moment pour y aller.","La prórroga esta a punto de empezar: a partir de ahi la arena se vuelve cada vez mas dura (enemigos mas rapidos y fuertes, jefes mas frecuentes). Si el punto de extraccion ya esta abierto, es un buen momento para ir."
EXTRACTION_OPEN_TITLE,Estrazione aperta,Extraction open,Extraction ouverte,Extracción abierta
EXTRACTION_OPEN_SUB,Il punto di estrazione è comparso: raggiungilo per estrarre,The extraction point has appeared: reach it to extract,Le point d'extraction est apparu : rejoignez-le pour extraire,El punto de extracción ha aparecido: llega hasta él para extraer
BLACKSMITH_SALVAGE_ALL_TRASH,Smonta tutta la spazzatura (%d),Salvage all trash (%d),Démonter toute la camelote (%d),Desguazar toda la chatarra (%d)
BLACKSMITH_SALVAGE_ALL_TRASH_EMPTY,Smonta tutta la spazzatura,Salvage all trash,Démonter toute la camelote,Desguazar toda la chatarra
ARENA_LEVEL_CURRENT,Livello arena attuale: %d/5,Current arena level: %d/5,Niveau d'arène actuel : %d/5,Nivel de arena actual: %d/5
ARENA_LEVEL_EFFECTS,Vita nemici ×%.2f · Ritmo spawn +%d%% · Boss +%d · Drop max: %s,Enemy HP ×%.2f · Spawn rate +%d%% · Bosses +%d · Max drop: %s,Vie ennemis ×%.2f · Rythme apparition +%d%% · Boss +%d · Butin max : %s,Vida enemigos ×%.2f · Ritmo aparición +%d%% · Jefes +%d · Botín máx.: %s
ARENA_LEVEL_HINT_FIRST_TIME,"Il livello dell'arena dipende dall'equip indossato (almeno 4 pezzi della stessa rarità o superiore): sale il rischio, sale la ricompensa. Dettagli nel Codex, sezione Equipaggiamento e potenza.","The arena level depends on your equipped items (at least 4 of the same rarity or higher): more risk, more reward. Details in the Codex, Equipment and power section.","Le niveau de l'arène dépend de l'équipement porté (au moins 4 objets de même rareté ou plus) : plus de risque, plus de récompense. Détails dans le Codex, section Équipement et puissance.","El nivel de la arena depende del equipo puesto (al menos 4 objetos de la misma rareza o superior): más riesgo, más recompensa. Detalles en el Códice, sección Equipo y poder."
HUD_ARENA_LEVEL,Livello arena %d,Arena level %d,Niveau d'arène %d,Nivel de arena %d
STAT_MANA_REGEN,Rigen. mana,Mana regen,Régén. mana,Regen. maná
STAT_MANA,Mana,Mana,Mana,Maná
UPG_MAX_MANA_UP,Riserva,Reserve,Réserve,Reserva
UPG_MAX_MANA_UP_DESC,+10% mana massimo,+10% max mana,+10 % de mana max,+10% de maná máx.
UPG_MANA_REGEN_UP,Meditazione,Meditation,Méditation,Meditación
UPG_MANA_REGEN_UP_DESC,+2 rigenerazione di mana al secondo.,+2 mana regen per second.,+2 régénération de mana par seconde.,+2 regeneración de maná por segundo.
MAP_TITLE,Mappa dell'arena,Arena map,Carte de l'arène,Mapa de la arena
MAP_NO_POI,Nessun punto di interesse per ora.,No points of interest yet.,Aucun point d'intérêt pour l'instant.,Sin puntos de interés por ahora.
MAP_HINT,Clic sinistro: piazza un indicatore (max 5) · Clic destro: cancella l'indicatore sotto il cursore · M o Esc: chiudi,Left click: place an indicator (max 5) · Right click: remove the indicator under the cursor · M or Esc: close,Clic gauche : placer un repère (max 5) · Clic droit : supprimer le repère sous le curseur · M ou Échap : fermer,Clic izquierdo: colocar un indicador (máx. 5) · Clic derecho: eliminar el indicador bajo el cursor · M o Esc: cerrar
HUD_STATS_TITLE,Statistiche,Stats,Statistiques,Estadísticas
PROMPT_PENTAGRAM_STATUE,E — Statua (attiva il Pentagramma),E — Statue (activates the Pentagram),E — Statue (active le Pentagramme),E — Estatua (activa el Pentagrama)
MAP_TOOLTIP_PENTAGRAM_STATUE,Evento Pentagramma,Pentagram event,Événement Pentagramme,Evento Pentagrama
RUNINV_TEMP_EQUIP,(equipaggiato solo per questa run — si perde se muori),(equipped for this run only — lost if you die),(équipé seulement pour cette run — perdu en cas de mort),(equipado solo para esta partida — se pierde si mueres)
